PERNR	SUBTY	BEGDA	BETRG
240717	0015	26.11.2015	0000010830.16
240730	0015	26.11.2015	0000014405.05
240738	0015	26.11.2015	0000000854.74
240752	0015	26.11.2015	0000001719.78
240757	0015	26.11.2015	0000007766.38
240759	0015	26.11.2015	0000000621.45
240777	0015	26.11.2015	0000003158.68
240790	0015	26.11.2015	0000002704.07
240794	0015	26.11.2015	0000001346.25
240811	0015	26.11.2015	0000002685.54
240813	0015	26.11.2015	0000002429.95
240820	0015	26.11.2015	0000000842.54
240821	0015	26.11.2015	0000000847.08
240822	0015	26.11.2015	0000004206.92
240828	0015	26.11.2015	0000001195.28
240852	0015	26.11.2015	0000002272.27
240875	0015	26.11.2015	0000008306.85
240896	0015	26.11.2015	0000001967.38
240912	0015	26.11.2015	0000000693.19
240919	0015	26.11.2015	0000004683.34
240932	0015	26.11.2015	0000005973.84
240947	0015	26.11.2015	0000005318.37
240956	0015	26.11.2015	0000001538.72
240962	0015	26.11.2015	0000000908.41
240969	0015	26.11.2015	0000001343.87
240971	0015	26.11.2015	0000004524.66
240978	0015	26.11.2015	0000004140.47
241003	0015	26.11.2015	0000007777.81
241014	0015	26.11.2015	0000007017.21
241018	0015	26.11.2015	0000002615.05
241030	0015	26.11.2015	0000001545.56
241034	0015	26.11.2015	0000001439.58
241046	0015	26.11.2015	0000010755.73
241047	0015	26.11.2015	0000000447.74
241056	0015	26.11.2015	0000001364.77
241093	0015	26.11.2015	0000002658.45
241099	0015	26.11.2015	0000009505.20
241104	0015	26.11.2015	0000001508.01
241110	0015	26.11.2015	0000000532.25
241158	0015	26.11.2015	0000004398.51
241160	0015	26.11.2015	0000002793.91
241187	0015	26.11.2015	0000001484.63
241197	0015	26.11.2015	0000000497.06
241200	0015	26.11.2015	0000001629.29
241208	0015	26.11.2015	0000001781.66
241215	0015	26.11.2015	0000004432.54
241219	0015	26.11.2015	0000003134.17
241230	0015	26.11.2015	0000001621.18
241242	0015	26.11.2015	0000000678.75
241262	0015	26.11.2015	0000002609.54
241269	0015	26.11.2015	0000002283.47
241270	0015	26.11.2015	0000002215.36
241278	0015	26.11.2015	0000001661.93
241279	0015	26.11.2015	0000005932.52
241280	0015	26.11.2015	0000004170.49
241295	0015	26.11.2015	0000002001.02
241301	0015	26.11.2015	0000003945.70
241304	0015	26.11.2015	0000001709.97
241305	0015	26.11.2015	0000002112.65
241319	0015	26.11.2015	0000004021.88
241331	0015	26.11.2015	0000005553.53
241334	0015	26.11.2015	0000000293.77
241335	0015	26.11.2015	0000000551.30
